cluster_id,Activity Period,Operating Airline,GEO Region,Terminal,Passenger Count
10,200507,ATA Airlines,US,Terminal 1,27271
10,200507,ATA Airlines,US,Terminal 1,29131
10,200507,ATA Airlines,US,Terminal 1,5415
11,200507,Air Canada ,Canada,Terminal 1,35156
11,200507,Air Canada ,Canada,Terminal 1,34090
1,200507,Air China,Asia,International,6263
1,200507,Air China,Asia,International,5500
3,200507,Air France,Europe,International,12050
3,200507,Air France,Europe,International,11638
1,200507,Air New Zealand,Australia / Oceania,International,4998
1,200507,Air New Zealand,Australia / Oceania,International,4962
2,200507,AirTran Airways,US,International,8055
2,200507,AirTran Airways,US,International,7984
2,200507,Alaska Airlines,US,International,36641
2,200507,Alaska Airlines,US,International,39379
2,200507,Alaska Airlines,US,International,3678
11,200507,Alaska Airlines,Canada,International,7977
11,200507,Alaska Airlines,Canada,International,8837
6,200507,Alaska Airlines,Mexico,International,6969
6,200507,Alaska Airlines,Mexico,International,10046
6,200507,Alaska Airlines,Mexico,International,2266
1,200507,All Nippon Airways,Asia,International,6545
1,200507,All Nippon Airways,Asia,International,6094
0,200507,American Airlines,US,Terminal 3,166577
0,200507,American Airlines,US,Terminal 3,160890
0,200507,American Eagle Airlines,US,Terminal 3,5493
0,200507,American Eagle Airlines,US,Terminal 3,5213
1,200507,Asiana Airlines,Asia,International,5041
1,200507,Asiana Airlines,Asia,International,4744
10,200507,Atlantic Southeast Airlines,US,Terminal 1,1552
10,200507,Atlantic Southeast Airlines,US,Terminal 1,1484
3,200507,BelAir Airlines,Europe,International,325
3,200507,BelAir Airlines,Europe,International,545
3,200507,British Airways,Europe,International,20632
3,200507,British Airways,Europe,International,21686
1,200507,Cathay Pacific,Asia,International,11010
1,200507,Cathay Pacific,Asia,International,9628
1,200507,China Airlines,Asia,International,13638
1,200507,China Airlines,Asia,International,11255
10,200507,Delta Air Lines,US,Terminal 1,97510
10,200507,Delta Air Lines,US,Terminal 1,93791
1,200507,EVA Airways,Asia,International,14142
1,200507,EVA Airways,Asia,International,12132
10,200507,Frontier Airlines,US,Terminal 1,19234
10,200507,Frontier Airlines,US,Terminal 1,18368
10,200507,Hawaiian Airlines,US,Terminal 1,7579
10,200507,Hawaiian Airlines,US,Terminal 1,7658
10,200507,Horizon Air ,US,Terminal 1,5284
10,200507,Horizon Air ,US,Terminal 1,5257
3,200507,Icelandair,Europe,International,4540
3,200507,Icelandair,Europe,International,4341
2,200507,Independence Air,US,International,10843
2,200507,Independence Air,US,International,10967
1,200507,Japan Airlines,Asia,International,9195
1,200507,Japan Airlines,Asia,International,9086
3,200507,KLM Royal Dutch Airlines,Europe,International,9978
3,200507,KLM Royal Dutch Airlines,Europe,International,9587
1,200507,Korean Air Lines,Asia,International,6153
1,200507,Korean Air Lines,Asia,International,5646
3,200507,Lufthansa German Airlines,Europe,International,22389
3,200507,Lufthansa German Airlines,Europe,International,20511
10,200507,Mesa Airlines,US,Terminal 1,2636
