date,cum_power
26-10-2011,0.1
27-10-2011,10.2
28-10-2011,20.2
29-10-2011,29.6
30-10-2011,34.2
31-10-2011,38
01-11-2011,46.6
02-11-2011,51.6
03-11-2011,58.6
04-11-2011,60.5
05-11-2011,65.7
06-11-2011,71.8
07-11-2011,73.3
08-11-2011,73.8
09-11-2011,76.1
10-11-2011,82.5
11-11-2011,89.1
12-11-2011,95.5
13-11-2011,99.9
14-11-2011,101.4
15-11-2011,109.1
16-11-2011,116
17-11-2011,122.3
18-11-2011,124.3
19-11-2011,130.5
20-11-2011,136.5
21-11-2011,142.5
22-11-2011,145
23-11-2011,148.3
24-11-2011,149.8
25-11-2011,151.7
26-11-2011,152.4
27-11-2011,156.1
28-11-2011,157.4
29-11-2011,163.9
30-11-2011,165.3
01-12-2011,170.7
02-12-2011,172.1
03-12-2011,174.7
04-12-2011,175.3
05-12-2011,176.3
06-12-2011,178.8
07-12-2011,180.5
08-12-2011,182
09-12-2011,183.6
10-12-2011,188.4
11-12-2011,192.6
12-12-2011,195
13-12-2011,197.8
14-12-2011,199.1
15-12-2011,200.1
16-12-2011,201.6
17-12-2011,201.8
18-12-2011,205.4
19-12-2011,209.7
20-12-2011,211.6
21-12-2011,214.4
22-12-2011,215.3
23-12-2011,216.2
24-12-2011,217.4
25-12-2011,219.7
26-12-2011,220.3
27-12-2011,220.7
28-12-2011,221.2
29-12-2011,221.7
30-12-2011,222.6
31-12-2011,226.2
01-01-2012,226.7
02-01-2012,227.5
03-01-2012,230.4
04-01-2012,231.2
05-01-2012,233.9
06-01-2012,235.5
07-01-2012,236.5
08-01-2012,240.6
09-01-2012,245.8
10-01-2012,246.8
11-01-2012,248.3
12-01-2012,249.9
13-01-2012,251.3
14-01-2012,254.7
15-01-2012,258.1
16-01-2012,263.5
17-01-2012,269.4
18-01-2012,274.8
19-01-2012,276.5
20-01-2012,277.3
21-01-2012,278.1
22-01-2012,278.9
23-01-2012,282.8
24-01-2012,286.1
25-01-2012,288.2
26-01-2012,289.6
27-01-2012,290.7
28-01-2012,297
29-01-2012,300.3
30-01-2012,301.6
31-01-2012,301.8
01-02-2012,307.4
02-02-2012,315.8
03-02-2012,324.3
04-02-2012,326.6
05-02-2012,334.2
06-02-2012,339.8
07-02-2012,348.4
08-02-2012,355.7
09-02-2012,363.6
10-02-2012,367.3
11-02-2012,376.9
12-02-2012,383.3
13-02-2012,385.9
14-02-2012,388.9
15-02-2012,393.6
16-02-2012,396
17-02-2012,399.6
18-02-2012,404.8
19-02-2012,406.3
20-02-2012,413.6
21-02-2012,424.3
22-02-2012,430.7
23-02-2012,436.9
24-02-2012,439.3
25-02-2012,441.6
26-02-2012,450.7
27-02-2012,453.3
28-02-2012,457.2
29-02-2012,458.7
01-03-2012,461.2
02-03-2012,463.5
03-03-2012,465.3
04-03-2012,471.4
05-03-2012,475.5
06-03-2012,477.1
07-03-2012,483.5
08-03-2012,485.8
09-03-2012,498
10-03-2012,504.1
11-03-2012,508.2
12-03-2012,524.3
13-03-2012,538
14-03-2012,541.5
15-03-2012,554.7
16-03-2012,571.9
17-03-2012,587.6
18-03-2012,592.5
19-03-2012,601.5
20-03-2012,619.3
21-03-2012,632.5
22-03-2012,650.8
23-03-2012,668.5
24-03-2012,686.2
25-03-2012,703.3
26-03-2012,723.5
27-03-2012,742.8
28-03-2012,760.7
29-03-2012,780.1
30-03-2012,794.3
31-03-2012,796.6
01-04-2012,804.2
02-04-2012,823.3
03-04-2012,844.2
04-04-2012,860.3
05-04-2012,872.4
06-04-2012,878.2
07-04-2012,900.2
08-04-2012,910.9
09-04-2012,922.1
10-04-2012,927.9
11-04-2012,933.1
12-04-2012,940.5
13-04-2012,953.9
14-04-2012,972.9
15-04-2012,992.4
16-04-2012,1001.1
17-04-2012,1021.3
18-04-2012,1029.5
19-04-2012,1041.9
20-04-2012,1059
21-04-2012,1072.4
22-04-2012,1086.1
23-04-2012,1103.4
24-04-2012,1114.9
25-04-2012,1126.1
26-04-2012,1133.9
27-04-2012,1147.7
28-04-2012,1158.9
29-04-2012,1167
30-04-2012,1186.9
01-05-2012,1202
02-05-2012,1222.9
03-05-2012,1228
04-05-2012,1233
05-05-2012,1253.5
06-05-2012,1258.9
07-05-2012,1270.9
08-05-2012,1292.2
09-05-2012,1302.6
10-05-2012,1318.4
11-05-2012,1327.7
12-05-2012,1338.1
13-05-2012,1359
14-05-2012,1381.3
15-05-2012,1410
16-05-2012,1421.5
17-05-2012,1452
18-05-2012,1469
19-05-2012,1477
20-05-2012,1499
21-05-2012,1518
22-05-2012,1533
23-05-2012,1561.9
24-05-2012,1588.2
25-05-2012,1607.5
26-05-2012,1636.7
27-05-2012,1665
28-05-2012,1692.3
29-05-2012,1721.6
30-05-2012,1746.3
31-05-2012,1769.4
01-06-2012,1782.5
02-06-2012,1802.4
03-06-2012,1825.9
04-06-2012,1829.1
05-06-2012,1836.4
06-06-2012,1864.2
07-06-2012,1881.1
08-06-2012,1893.6
09-06-2012,1916
10-06-2012,1936.8
11-06-2012,1948.9
12-06-2012,1959.3
13-06-2012,1968.7
14-06-2012,1981.3
15-06-2012,2007.3
16-06-2012,2015.3
17-06-2012,2034.2
18-06-2012,2056.7
19-06-2012,2069.9
20-06-2012,2090.4
21-06-2012,2110.9
22-06-2012,2122.7
23-06-2012,2142.4
24-06-2012,2162.4
25-06-2012,2173.1
26-06-2012,2195.7
27-06-2012,2219.1
28-06-2012,2228.8
29-06-2012,2251.2
30-06-2012,2270.3
01-07-2012,2294.4
02-07-2012,2317.9
03-07-2012,2343.5
04-07-2012,2356
05-07-2012,2376.1
06-07-2012,2391.1
07-07-2012,2412.8
08-07-2012,2430.5
09-07-2012,2445.3
10-07-2012,2456.1
11-07-2012,2468.7
12-07-2012,2484
13-07-2012,2500
14-07-2012,2515
15-07-2012,2531.4
16-07-2012,2545.5
17-07-2012,2552.8
18-07-2012,2563.4
19-07-2012,2582.8
20-07-2012,2595.9
21-07-2012,2605
22-07-2012,2627.4
23-07-2012,2653.4
24-07-2012,2680.6
25-07-2012,2707.3
26-07-2012,2733
27-07-2012,2756
28-07-2012,2771.2
29-07-2012,2783.7
30-07-2012,2801.7
31-07-2012,2817.4
01-08-2012,2825.8
02-08-2012,2840.6
